celery-worker  | INFO 2025-07-16 16:01:20,898 universal_database_handler Enhanced 12/12 zones with level information
celery-worker  | DEBUG 2025-07-16 16:01:22,297 universal_database_handler Creating seat packs: 65 packs to process
celery-worker  | INFO 2025-07-16 16:01:22,297 universal_database_handler 🔧 SEAT PACK SYNC DEBUG: Starting _create_seat_packs with 65 generated packs
celery-worker  | INFO 2025-07-16 16:01:22,297 universal_database_handler 🎯 SEAT PACK SYNC DEBUG: Processing performance Sofiane Pamart: PIANO TOUR 2025 - USA & CANADA at Curran Theatre on 2025-09-08 03:00:00+00:00
celery-worker  | DEBUG 2025-07-16 16:01:22,297 universal_database_handler 📦 SEAT PACK SYNC DEBUG: Importing sync modules...
celery-worker  | DEBUG 2025-07-16 16:01:22,298 universal_database_handler 🔍 SEAT PACK SYNC DEBUG: Getting existing seat packs...
celery-worker  | DEBUG 2025-07-16 16:01:22,300 seat_pack_sync Retrieved 0 active seat packs for performance Sofiane Pamart: PIANO TOUR 2025 - USA & CANADA at Curran Theatre on 2025-09-08 03:00:00+00:00 (excluding POS-synced)
celery-worker  | INFO 2025-07-16 16:01:22,300 universal_database_handler 📊 SEAT PACK SYNC DEBUG: Starting sync - 0 existing packs, 65 new packs generated
celery-worker  | INFO 2025-07-16 16:01:22,300 universal_database_handler 🔬 SEAT PACK SYNC DEBUG: Sample generated pack - Zone: bsf_perf_D9A0B9B6-0252-4655-A635-BA2ED0B1352F_3A2A07F5-F921-410A-B2D5-F83113FA2083, Size: 11, Row: B
celery-worker  | INFO 2025-07-16 16:01:22,300 universal_database_handler ⚡ SEAT PACK SYNC DEBUG: Executing synchronization workflow...
celery-worker  | INFO 2025-07-16 16:01:22,300 sync_plan_executor 🚀 SYNC EXECUTOR DEBUG: Starting seat pack sync for broadway_sf, job 11
celery-worker  | INFO 2025-07-16 16:01:22,300 sync_plan_executor 📊 SYNC EXECUTOR DEBUG: Input data - 0 existing, 65 new, 12 zones
celery-worker  | DEBUG 2025-07-16 16:01:22,300 sync_plan_executor 🔄 SYNC EXECUTOR DEBUG: Preparing new pack data for sync...
celery-worker  | INFO 2025-07-16 16:01:22,300 sync_plan_executor ✅ SYNC EXECUTOR DEBUG: Prepared 65 new packs for sync
celery-worker  | DEBUG 2025-07-16 16:01:22,300 sync_plan_executor 🧠 SYNC EXECUTOR DEBUG: Generating sync plan via diff algorithm...
celery-worker  | INFO 2025-07-16 16:01:22,300 seat_pack_sync Starting seat pack diff: 0 existing, 65 new, POS enabled: False
celery-worker  | DEBUG 2025-07-16 16:01:22,300 seat_pack_sync Built lookups: 0 existing, 65 new, 0 seat mappings
celery-worker  | INFO 2025-07-16 16:01:22,300 seat_pack_sync Sync plan comparison: 0 identical, 65 to create, 0 to delete, 0 to sync
